text,category,severity,urgency
Road Maintenance(Engg) - Potholes in Shanthala Nagar. 1st Assignment Based on Ward Mapping,Road Maintenance(Engg),MEDIUM,NEUTRAL
veterinary - Fatally injured - Needs immediate attention in Garudacharpalya. 1st Assignment Based on Ward Mapping,veterinary,MEDIUM,URGENT
Solid Waste (Garbage) Related - Garbage dump in Shanthala Nagar. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
veterinary - shifting of the street dogs to other places in Nagapura. 1st Assignment Based on Ward Mapping,veterinary,MEDIUM,NEUTRAL
Electrical - Street Light Not Working in Sri Rammandira. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Road Maintenance(Engg) - Potholes in Uttarahalli. 1st Assignment Based on Ward Mapping,Road Maintenance(Engg),MEDIUM,NEUTRAL
veterinary - Stray cattle related complaints in Ulsoor. 1st Assignment Based on Ward Mapping,veterinary,MEDIUM,NEUTRAL
Electrical - Street Light Not Working in Vasanthapura. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
veterinary - Stray/Rabid dog bite in Nagapura. 1st Assignment Based on Ward Mapping,veterinary,MEDIUM,NEUTRAL
veterinary - Animal birth control/neutering of stray dogs in Peenya Industrial Area. 1st Assignment Based on Ward Mapping,veterinary,MEDIUM,NEUTRAL
Others - Others in Deepanjali Nagar. 1st Assignment Based on Ward Mapping,Others,MEDIUM,NEUTRAL
E khata / Khata services - ekhata approval pending with ARO in Hagadooru. 1st Assignment Based on Ward Mapping,E khata / Khata services,MEDIUM,NEUTRAL
E khata / Khata services - ekhata approval pending with ARO in Hagadooru. 1st Assignment Based on Ward Mapping,E khata / Khata services,MEDIUM,NEUTRAL
Solid Waste (Garbage) Related - Garbage dump in Domlur. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Electrical - Street Light Not Working in Konena Agrahara. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Solid Waste (Garbage) Related - Garbage dump in Newthippasandra. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Road Maintenance(Engg) - Road side drains in Hemmigepura. 1st Assignment Based on Ward Mapping,Road Maintenance(Engg),MEDIUM,NEUTRAL
veterinary - Animal birth control/neutering of stray dogs in Rajarajeshwari Nagar. 1st Assignment Based on Ward Mapping,veterinary,MEDIUM,NEUTRAL
Solid Waste (Garbage) Related - Garbage dump in Kodigehalli. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Optical Fiber Cables (OFC) - Without permission digging of road in Doddanekkundi. 1st Assignment Based on Ward Mapping,Optical Fiber Cables (OFC),MEDIUM,NEUTRAL
Forest - obstructions Branches / Trees. in Rajarajeshwari Nagar. 1st Assignment Based on Ward Mapping,Forest,MEDIUM,NEUTRAL
Optical Fiber Cables (OFC) - Without permission digging of road in Doddanekkundi. 1st Assignment Based on Ward Mapping,Optical Fiber Cables (OFC),MEDIUM,NEUTRAL
Solid Waste (Garbage) Related - Garbage dump in Sarvagna Nagar. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Electrical - Street Light Not Working in Hemmigepura. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
E khata / Khata services - ekhata approval pending with ARO in Kadugodi. 1st Assignment Based on Ward Mapping,E khata / Khata services,MEDIUM,NEUTRAL
Road Maintenance(Engg) - Debris Removal / Construction Material in Sarvagna Nagar. 1st Assignment Based on Ward Mapping,Road Maintenance(Engg),LOW,NEUTRAL
Road Maintenance(Engg) - footpath encroachment in Kadugodi. 1st Assignment Based on Ward Mapping,Road Maintenance(Engg),MEDIUM,NEUTRAL
Electrical - Street Light Not Working in Azad Nagar. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Solid Waste (Garbage) Related - Garbage dump in Benniganahalli. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Traffic Engineer Cell (TEC) - TEC in Bellandur. 1st Assignment Based on Ward Mapping,Traffic Engineer Cell (TEC),MEDIUM,NEUTRAL
Traffic Engineer Cell (TEC) - TEC in Bellandur. 1st Assignment Based on Ward Mapping,Traffic Engineer Cell (TEC),MEDIUM,NEUTRAL
veterinary - Fatally injured - Needs immediate attention in Byatarayanapura. 1st Assignment Based on Ward Mapping,veterinary,MEDIUM,URGENT
veterinary - shifting of the street dogs to other places in Shiva Nagar. 1st Assignment Based on Ward Mapping,veterinary,MEDIUM,NEUTRAL
Electrical - Street Light Not Working in Ullalu. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Forest - Removal of dead/fallen trees in Malleshwaram. 1st Assignment Based on Ward Mapping,Forest,MEDIUM,NEUTRAL
Solid Waste (Garbage) Related - Garbage dump in Kuvempu Nagar. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Electrical - Street Light Not Working in Basavanagudi. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Electrical - Street Lights Switched On During Day Time in Vidyaranyapura. 1st Assignment Based on Ward Mapping,Electrical,MEDIUM,NEUTRAL
Solid Waste (Garbage) Related - Garbage dump in Benniganahalli. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Solid Waste (Garbage) Related - Garbage dump in Hagadooru. Cleared,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Solid Waste (Garbage) Related - Garbage dumping in vacant sites in Hongasandra. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Forest - Removal of dead/fallen trees in Ganeshmandira Ward. 1st Assignment Based on Ward Mapping,Forest,MEDIUM,NEUTRAL
Solid Waste (Garbage) Related - Burning of Garbage in Open Space in Rajarajeshwari Nagar. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Forest - Removal of dead/fallen trees in Rajarajeshwari Nagar. 1st Assignment Based on Ward Mapping,Forest,MEDIUM,NEUTRAL
Solid Waste (Garbage) Related - Garbage vehicle not arrived in Padmanabha Nagar. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Solid Waste (Garbage) Related - Garbage dump in Dharmarayaswamy Temple Ward. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Solid Waste (Garbage) Related - Sweeping not done in Benniganahalli. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,LOW,NEUTRAL
Solid Waste (Garbage) Related - Garbage dump in Byrasandra. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Solid Waste (Garbage) Related - Garbage dump in Kadugondanahalli. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Electrical - Street Light Not Working in Kumaraswamy Layout. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Road Maintenance(Engg) - Potholes in Jnanabharathi Ward. 1st Assignment Based on Ward Mapping,Road Maintenance(Engg),MEDIUM,NEUTRAL
Storm Water Drain(SWD) - Maintenance of SWD in Hagadooru. 1st Assignment Based on Ward Mapping,Storm  Water Drain(SWD),LOW,NEUTRAL
Solid Waste (Garbage) Related - Garbage dump in Nagavara. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Electrical - Street Light Not Working in Sudam Nagar. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Solid Waste (Garbage) Related - Garbage vehicle not arrived in Kuvempu Nagar. Forwarded Task,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Solid Waste (Garbage) Related - Garbage dump in Benniganahalli. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Electrical - Street Light Not Working in Someshwara. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
veterinary - Animal birth control/neutering of stray dogs in Shanthi Nagar. 1st Assignment Based on Ward Mapping,veterinary,MEDIUM,NEUTRAL
Storm Water Drain(SWD) - Maintenance of SWD in Bagalagunte. 1st Assignment Based on Ward Mapping,Storm  Water Drain(SWD),LOW,NEUTRAL
Electrical - Street Light Not Working in Koramangala. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Electrical - Street Light Not Working in Rajarajeshwari Nagar. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Solid Waste (Garbage) Related - Garbage dump in Sagayapuram. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Solid Waste (Garbage) Related - Garbage dump in Doddanekkundi. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Storm Water Drain(SWD) - Maintenance of SWD in Varthur. 1st Assignment Based on Ward Mapping,Storm  Water Drain(SWD),LOW,NEUTRAL
Solid Waste (Garbage) Related - Garbage dump in Kumaraswamy Layout. Forwarded Task,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Solid Waste (Garbage) Related - Garbage dump in Nagavara. Forwarded Task,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Electrical - Street Light Not Working in Agaram. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Storm Water Drain(SWD) - Maintenance of SWD in Kadugodi. 1st Assignment Based on Ward Mapping,Storm  Water Drain(SWD),LOW,NEUTRAL
veterinary - Stray/Rabid dog bite in Bellandur. 1st Assignment Based on Ward Mapping,veterinary,MEDIUM,NEUTRAL
E khata / Khata services - Other Khata / ekhata issues in Begur. 1st Assignment Based on Ward Mapping,E khata / Khata services,MEDIUM,NEUTRAL
Electrical - Street Light Not Working in Nagarabhavi. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Electrical - Street Light Not Working in Vijay Nagar. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Solid Waste (Garbage) Related - Garbage dump in Jaraganahalli. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Solid Waste (Garbage) Related - Garbage dump in Hagadooru. Cleared,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Electrical - Street Light Not Working in Bommanahalli. \N,Electrical,HIGH,URGENT
Electrical - Street Light Not Working in Radhakrishna Temple. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Solid Waste (Garbage) Related - Garbage dump in Kumaraswamy Layout. Forwarded Task,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Road Maintenance(Engg) - Overhanging cables in Arakere. 1st Assignment Based on Ward Mapping,Road Maintenance(Engg),MEDIUM,NEUTRAL
veterinary - Animal birth control/neutering of stray dogs in Anjanapur. 1st Assignment Based on Ward Mapping,veterinary,MEDIUM,NEUTRAL
Solid Waste (Garbage) Related - Garbage dump in Vignana Nagar. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Solid Waste (Garbage) Related - Garbage dump in Yelachenahalli. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Forest - obstructions Branches / Trees. in Hosakerehalli. 1st Assignment Based on Ward Mapping,Forest,MEDIUM,NEUTRAL
veterinary - Stray dog related complaints in Peenya Industrial Area. 1st Assignment Based on Ward Mapping,veterinary,MEDIUM,NEUTRAL
veterinary - Anti Rabies Vaccination of stray dogs in Konena Agrahara. 1st Assignment Based on Ward Mapping,veterinary,MEDIUM,NEUTRAL
Solid Waste (Garbage) Related - Garbage dump in Koramangala. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Solid Waste (Garbage) Related - Garbage dump in Shanthala Nagar. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Solid Waste (Garbage) Related - Garbage dump in Koramangala. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Solid Waste (Garbage) Related - Garbage vehicle not arrived in Kottigepalya. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Forest - obstructions Branches / Trees. in Gayathri Nagar. 1st Assignment Based on Ward Mapping,Forest,MEDIUM,NEUTRAL
Solid Waste (Garbage) Related - Sweeping not done in Shanthi Nagar. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,LOW,NEUTRAL
Electrical - Street Light Not Working in Byatarayanapura. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Electrical - Street Light Not Working in Rajagopala Nagar. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Solid Waste (Garbage) Related - Garbage vehicle not arrived in Doddanekkundi. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Electrical - Street Light Not Working in J.P.Nagar. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Solid Waste (Garbage) Related - Garbage dump in Basavanapura. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
"Revenue Department - Khata Services (Registration, Transfer, Bifurcation and Amalgamation) in Byatarayanapura. 1st Assignment Based on Ward Mapping",Revenue Department,MEDIUM,NEUTRAL
Solid Waste (Garbage) Related - Garbage dumping in vacant sites in Hagadooru. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Solid Waste (Garbage) Related - Garbage dump in Jogupalya. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Forest - obstructions Branches / Trees. in Gayathri Nagar. 1st Assignment Based on Ward Mapping,Forest,MEDIUM,NEUTRAL
Solid Waste (Garbage) Related - Garbage dump in Nagapura. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Electrical - Street Light Not Working in Bilekahalli. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
"Revenue Department - Khata Services (Registration, Transfer, Bifurcation and Amalgamation) in HAL Airport. 1st Assignment Based on Ward Mapping",Revenue Department,MEDIUM,NEUTRAL
Forest - obstructions Branches / Trees. in Hampi Nagar. 1st Assignment Based on Ward Mapping,Forest,MEDIUM,NEUTRAL
Solid Waste (Garbage) Related - Garbage dump in Vidyaranyapura. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Road Maintenance(Engg) - Road side drains in Hemmigepura. 1st Assignment Based on Ward Mapping,Road Maintenance(Engg),MEDIUM,NEUTRAL
Road Maintenance(Engg) - Potholes in Chikpete. 1st Assignment Based on Ward Mapping,Road Maintenance(Engg),MEDIUM,NEUTRAL
Forest - obstructions Branches / Trees. in Kamakshipalya. 1st Assignment Based on Ward Mapping,Forest,MEDIUM,NEUTRAL
veterinary - Fatally injured - Needs immediate attention in Jogupalya. 1st Assignment Based on Ward Mapping,veterinary,MEDIUM,URGENT
Solid Waste (Garbage) Related - Garbage dump in K.R.Puram. Forwarded Task,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Solid Waste (Garbage) Related - Garbage dump in Jeevanbhima Nagar. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Solid Waste (Garbage) Related - Garbage vehicle not arrived in Yelachenahalli. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
E khata / Khata services - Other Khata / ekhata issues in Horamavu. 1st Assignment Based on Ward Mapping,E khata / Khata services,MEDIUM,NEUTRAL
E khata / Khata services - Other Khata / ekhata issues in Horamavu. 1st Assignment Based on Ward Mapping,E khata / Khata services,MEDIUM,NEUTRAL
Electrical - Street Light Not Working in Bapuji Nagar. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Solid Waste (Garbage) Related - Garbage vehicle not arrived in Varthur. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Solid Waste (Garbage) Related - Garbage vehicle not arrived in Varthur. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Road Maintenance(Engg) - Potholes in Benniganahalli. 1st Assignment Based on Ward Mapping,Road Maintenance(Engg),MEDIUM,NEUTRAL
Electrical - Street Lights Switched On During Day Time in Uttarahalli. 1st Assignment Based on Ward Mapping,Electrical,MEDIUM,NEUTRAL
veterinary - shifting of the street dogs to other places in Uttarahalli. 1st Assignment Based on Ward Mapping,veterinary,MEDIUM,NEUTRAL
E khata / Khata services - Technical Issue In Ekhata in Horamavu. 1st Assignment Based on Ward Mapping,E khata / Khata services,MEDIUM,CONCERNED
Electrical - Street Light Not Working in Gurappanapalya. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
E khata / Khata services - Ekhata - name correction in Horamavu. 1st Assignment Based on Ward Mapping,E khata / Khata services,MEDIUM,NEUTRAL
E khata / Khata services - Ekhata - name correction in Horamavu. 1st Assignment Based on Ward Mapping,E khata / Khata services,MEDIUM,NEUTRAL
Solid Waste (Garbage) Related - Garbage dump in Vignana Nagar. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Electrical - Street Light Not Working in Someshwara. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Solid Waste (Garbage) Related - Garbage dump in Padarayanapura. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Solid Waste (Garbage) Related - Garbage dump in Horamavu. Forwarded Task,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Health Dept - Air/Noise pollution in Mallasandra. 1st Assignment Based on Ward Mapping,Health Dept,MEDIUM,NEUTRAL
Electrical - Street Lights Switched On During Day Time in Subhash Nagar. 1st Assignment Based on Ward Mapping,Electrical,MEDIUM,NEUTRAL
Solid Waste (Garbage) Related - Garbage dump in Benniganahalli. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Forest - Removal of dead/fallen trees in Banaswadi. 1st Assignment Based on Ward Mapping,Forest,MEDIUM,NEUTRAL
Solid Waste (Garbage) Related - Garbage dump in Chikpete. This point is Regularly Clrared,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Electrical - Street Light Not Working in Kodigehalli. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Solid Waste (Garbage) Related - Garbage dump in Benniganahalli. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Electrical - Street Light Not Working in Uttarahalli. \N,Electrical,HIGH,URGENT
Electrical - Street Light Not Working in Begur. \N,Electrical,HIGH,URGENT
Solid Waste (Garbage) Related - Garbage dump in Varthur. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Forest - Removal of dead/fallen trees in Newthippasandra. 1st Assignment Based on Ward Mapping,Forest,MEDIUM,NEUTRAL
Solid Waste (Garbage) Related - Garbage dump in Chikpete. This point is Regularly Cleared,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Solid Waste (Garbage) Related - Garbage dump in Sampangiram Nagar. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Forest - Removal of dead/fallen trees in Shettyhalli. 1st Assignment Based on Ward Mapping,Forest,MEDIUM,NEUTRAL
Solid Waste (Garbage) Related - Garbage dump in Hoodi. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Solid Waste (Garbage) Related - Garbage dump in HBR Layout. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Electrical - Street Light Not Working in HBR Layout. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Solid Waste (Garbage) Related - Garbage dump in Hoodi. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Electrical - Street Light Not Working in Dodda Bidarkallu. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Solid Waste (Garbage) Related - Garbage dump in Banaswadi. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Solid Waste (Garbage) Related - Garbage vehicle not arrived in Kottigepalya. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Solid Waste (Garbage) Related - Garbage vehicle not arrived in Kottigepalya. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Solid Waste (Garbage) Related - Garbage vehicle not arrived in Kottigepalya. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Solid Waste (Garbage) Related - Garbage dump in Banaswadi. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Electrical - Street Light Not Working in Jakkur. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Solid Waste (Garbage) Related - Garbage transfer not as per norms & area not kept clean in Basavanagudi. Clear,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Road Maintenance(Engg) - Road cutting in Shakambari Nagar. 1st Assignment Based on Ward Mapping,Road Maintenance(Engg),MEDIUM,NEUTRAL
Electrical - Street Light Not Working in Hemmigepura. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Solid Waste (Garbage) Related - Garbage dump in Someshwara. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Solid Waste (Garbage) Related - Garbage dump in Benniganahalli. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Solid Waste (Garbage) Related - Garbage dump in Kumaraswamy Layout. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Solid Waste (Garbage) Related - Garbage dump in Dr.Rajkumar Ward. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Solid Waste (Garbage) Related - Garbage dump in H.M.T. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Solid Waste (Garbage) Related - Garbage dump in Vidyapeetha. Clear,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Solid Waste (Garbage) Related - Garbage vehicle not arrived in Pulikeshi Nagar. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Solid Waste (Garbage) Related - Garbage dump in Konanakunte. Forwarded Task,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Electrical - Street Light Not Working in Banaswadi. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Solid Waste (Garbage) Related - Garbage dump in Jayangar. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Electrical - Street Light Not Working in Hampi Nagar. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Solid Waste (Garbage) Related - Garbage dump in Kammanahalli. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Sanitation - Public toilet(s) cleaning in Jakkur. 1st Assignment Based on Ward Mapping,Sanitation,LOW,NEUTRAL
veterinary - Animal Rescue - Not well - Requires attention in Someshwara. 1st Assignment Based on Ward Mapping,veterinary,MEDIUM,NEUTRAL
Solid Waste (Garbage) Related - Garbage dump in Kavalbyrasandra. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Road Maintenance(Engg) - Road side drains in Thanisandra. 1st Assignment Based on Ward Mapping,Road Maintenance(Engg),MEDIUM,NEUTRAL
Solid Waste (Garbage) Related - Garbage dump in Someshwara. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Electrical - Street Light Not Working in Vidyaranyapura. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Solid Waste (Garbage) Related - Garbage dump in Padmanabha Nagar. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Solid Waste (Garbage) Related - Garbage dump in Attiguppe. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Solid Waste (Garbage) Related - Garbage dump in Benniganahalli. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Others - Others in Jakkur. 1st Assignment Based on Ward Mapping,Others,MEDIUM,NEUTRAL
Solid Waste (Garbage) Related - Garbage vehicle not arrived in Nagavara. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Solid Waste (Garbage) Related - Garbage dump in Kavalbyrasandra. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Solid Waste (Garbage) Related - Garbage dump in Benniganahalli. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Solid Waste (Garbage) Related - Garbage dump in Benniganahalli. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Forest - obstructions Branches / Trees. in Katriguppe. 1st Assignment Based on Ward Mapping,Forest,MEDIUM,NEUTRAL
Road Infrastructure - Road Infrastructure in Uttarahalli. 1st Assignment Based on Ward Mapping,Road Infrastructure,MEDIUM,NEUTRAL
veterinary - Stray dog related complaints in Jnanabharathi Ward. 1st Assignment Based on Ward Mapping,veterinary,MEDIUM,NEUTRAL
Solid Waste (Garbage) Related - Garbage dump in Chikpete. This point is Regularly Cleared,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Forest - obstructions Branches / Trees. in Vidyaranyapura. 1st Assignment Based on Ward Mapping,Forest,MEDIUM,NEUTRAL
Solid Waste (Garbage) Related - Garbage dump in Benniganahalli. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Solid Waste (Garbage) Related - Garbage dump in Vidyapeetha. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Electrical - Street Light Not Working in Vidyaranyapura. Resolved,Electrical,HIGH,URGENT
Solid Waste (Garbage) Related - Garbage dump in Benniganahalli. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Solid Waste (Garbage) Related - Garbage dump in Hoodi. Forwarded Task,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Road Maintenance(Engg) - Road side drains in Sampangiram Nagar. 1st Assignment Based on Ward Mapping,Road Maintenance(Engg),MEDIUM,NEUTRAL
Solid Waste (Garbage) Related - Garbage dump in Hagadooru. Cleared,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Forest - Removal of dead/fallen trees in Kempegowda Ward. 1st Assignment Based on Ward Mapping,Forest,MEDIUM,NEUTRAL
veterinary - Stray dog related complaints in Uttarahalli. 1st Assignment Based on Ward Mapping,veterinary,MEDIUM,NEUTRAL
Electrical - Street Light Not Working in Shettyhalli. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Solid Waste (Garbage) Related - Garbage dump in Kacharakanahalli. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Solid Waste (Garbage) Related - Garbage dump in Benniganahalli. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Solid Waste (Garbage) Related - Garbage dump in Begur. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Electrical - Street Light Not Working in Kengeri. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Forest - obstructions Branches / Trees. in Basaveshwara Nagar. 1st Assignment Based on Ward Mapping,Forest,MEDIUM,NEUTRAL
